;start_time;stop_time;speaker;sentence;sent;score;modified_sent
1;32.738;33.068;Participant;thank;happy;0.864363431930542;happy
3;42.088;42.518;Participant;mmm k;happy;0.5309107899665833;neutral
6;54.328;55.758;Participant;i'm good thank;happy;0.9218927621841431;happy
9;59.858;60.948;Participant;i'm los angeles;happy;0.43419110774993896;neutral
11;63.538;64.108;Participant;oh great;happy;0.9672046899795532;happy
13;67.388;69.858;Participant;live west los angeles west side;happy;0.7647501230239868;happy
16;74.678;75.248;Participant;alright;neutral;0.5784096121788025;neutral
17;76.398;76.708;Participant;xxx;unhappy;0.3608858585357666;neutral
19;78.218;79.588;Participant;live alone;neutral;0.9026224613189697;neutral
22;85.398;89.468;Participant;love i'm grew natural;happy;0.8449259400367737;happy
25;95.388;98.598;Participant;weather um well weather;neutral;0.4618789553642273;neutral
26;99.728;107.748;Participant;always good never never bad uh um there's always something rarely dull moment;happy;0.712610125541687;happy
30;112.268;113.068;Participant;traffic;unhappy;0.7697816491127014;unhappy
32;116.188;122.918;Participant;traffic horrible well probably traffic horrible almost major city hate traffic;unhappy;0.9967872500419617;unhappy
35;126.698;135.338;Participant;really mean enough things going travel usually somewhere that's within driving distance;neutral;0.3955192267894745;neutral
38;142.168;144.338;Participant;studied uh business;neutral;0.44727930426597595;neutral
41;151.928;154.488;Participant;i've i've done years gone school one days i'll go back graduate school;neutral;0.5282373428344727;neutral
44;161.458;166.668;Participant;dream job would work making lots money um;happy;0.675512969493866;happy
45;168.078;172.408;Participant;know really dream job something;happy;0.9222346544265747;happy
46;173.438;181.178;Participant;work terms get paid decently creative creative environment;happy;0.8729543089866638;happy
49;185.978;186.758;Participant;um;unhappy;0.6340578198432922;unhappy
50;188.908;206.318;Participant;know think matter finding right situation right eh people little conservative want want little tougher seems <se> know think situation's right think difficult;unhappy;0.6515129208564758;unhappy
53;211.108;211.438;Participant;yep;happy;0.7483627796173096;happy
55;213.688;217.938;Participant;work assistant <as> administrative assistant temp agency;neutral;0.7277966141700745;neutral
56;219.488;222.118;Participant;basically get sent uh;unhappy;0.6077955365180969;unhappy
58;223.118;224.508;Participant;desk jobs;neutral;0.6160296201705933;neutral
60;227.338;234.948;Participant;um yes mean feel like feel like could know works;neutral;0.5247766375541687;neutral
61;236.228;236.968;Participant;know yeah;happy;0.573300838470459;neutral
64;242.008;244.708;Participant;i'm pretty close mean they're around;happy;0.5977560877799988;neutral
